loss,accuracy,val_loss,val_accuracy
0.10214634984731674,0.9664062261581421,0.04405473917722702,0.9863749742507935
0.05162764713168144,0.9837499856948853,0.040021926164627075,0.9931250214576721
0.051830921322107315,0.9850937724113464,0.017533820122480392,0.9948750138282776
0.03623001277446747,0.9894999861717224,0.022767726331949234,0.996749997138977
0.030117863789200783,0.9911875128746033,0.012205252423882484,0.9965000152587891
0.03086034581065178,0.9913437366485596,0.01827310025691986,0.9955000281333923
0.03820321336388588,0.9904687404632568,0.019921831786632538,0.9959999918937683
0.024954600259661674,0.9931250214576721,0.011694560758769512,0.9972500205039978
0.025162991136312485,0.9925937652587891,0.013053697533905506,0.9958750009536743
0.03072809800505638,0.9916874766349792,0.0090853376314044,0.9975000023841858
0.026418939232826233,0.9925312399864197,0.013970360159873962,0.9962499737739563
0.021455617621541023,0.9939687252044678,0.008378921076655388,0.9982500076293945
0.016740188002586365,0.9951249957084656,0.008069650270044804,0.9981250166893005
0.031597670167684555,0.9918437600135803,0.013950696215033531,0.9978749752044678
0.01692841574549675,0.9953437447547913,0.012585015036165714,0.9983749985694885
0.01667095720767975,0.9952499866485596,0.01474897563457489,0.9952499866485596
0.015337289310991764,0.9954687356948853,0.0061081815510988235,0.9980000257492065
0.014620310626924038,0.9963750243186951,0.0047814552672207355,0.9987499713897705
0.016229424625635147,0.995968759059906,0.007299892604351044,0.9987499713897705
0.013930252753198147,0.9962812662124634,0.0047453283332288265,0.9986249804496765
